time,ATT__avg_cust_sent,ATT__cust_sent_improvement,ATT__comp_resp_timehrs,ATT__issue_was_resolved,BoostCare__avg_cust_sent,BoostCare__cust_sent_improvement,BoostCare__comp_resp_timehrs,BoostCare__issue_was_resolved,TMobileHelp__avg_cust_sent,TMobileHelp__cust_sent_improvement,TMobileHelp__comp_resp_timehrs,TMobileHelp__issue_was_resolved,USCellularCares__avg_cust_sent,USCellularCares__cust_sent_improvement,USCellularCares__comp_resp_timehrs,USCellularCares__issue_was_resolved,VMUcare__avg_cust_sent,VMUcare__cust_sent_improvement,VMUcare__comp_resp_timehrs,VMUcare__issue_was_resolved,VerizonSupport__avg_cust_sent,VerizonSupport__cust_sent_improvement,VerizonSupport__comp_resp_timehrs,VerizonSupport__issue_was_resolved,sprintcare__avg_cust_sent,sprintcare__cust_sent_improvement,sprintcare__comp_resp_timehrs,sprintcare__issue_was_resolved,indavg__issue_was_resolved,indavg__avg_cust_sent,indavg__cust_sent_improvement,indavg__comp_resp_timehrs
2017-10-05 01:00:00,-0.24012129560180212,-0.07348264112628791,127.36692590663581,0.1474652777777777,-0.14797943638551697,-0.19454513793190323,12.188162528935196,0.12416666666666668,-0.1800557616495624,-0.1450447426710451,254.93128115645425,0.2036922432611237,-0.23022511832420198,0.13786458693599948,39.60916999421288,0.25000000000000006,-0.03939719435634158,0.07593750229182963,10.12764916087963,0.23854166666666668,-0.1464413725837572,-0.18756405592748104,215.02774690412306,0.14413697991822996,-0.2189919090929072,-0.1349863377250455,118.04200635147168,0.15578574994812744,0.18054122631979888,-0.1718874411420128,-0.07454583230770483,111.04184885753037
2017-10-05 02:00:00,-0.24070462892520136,-0.07356597444223656,127.45221548996915,0.14788194444444439,-0.14806276972009208,-0.19462847126647834,12.19804597800927,0.12541666666666668,-0.18008296073811222,-0.14458409451810236,254.8596299283164,0.20415520622408667,-0.23010492601650967,0.13744792024760197,39.641873408564734,0.2510416666666667,-0.03960552770054034,0.07677083565827665,10.135875626929012,0.2392361111111111,-0.14693745393562152,-0.18723072260935933,215.02855043421565,0.14476197991822995,-0.21950778210685845,-0.13528395677044713,118.04224734022831,0.15638098804336556,0.18126779472493873,-0.17214372130613367,-0.07443920910010644,111.05120545803322
2017-10-05 03:00:00,-0.24151712892023433,-0.07412847443354421,127.50318840663581,0.1480902777777777,-0.1478961030509419,-0.19446180459732815,12.211113570601864,0.12708333333333333,-0.1803022894509481,-0.14452506672159465,254.80503842561578,0.2045024284463089,-0.22968825934363418,0.13786458692047746,39.661684172453626,0.25312500000000004,-0.03950136103620198,0.07739583567793791,10.150342447916666,0.240625,-0.14763189837877247,-0.18764738927059327,215.02882170157676,0.14476197991822995,-0.22044528210530626,-0.13525419484750226,118.04746394075741,0.15667860709098458,0.1821238037952335,-0.17242604604086273,-0.07439378675316388,111.0582360950797
2017-10-05 04:00:00,-0.242558795586901,-0.07517014110021088,127.51984465663581,0.1480902777777777,-0.1474794363780664,-0.19404513792445266,12.227365306712976,0.12916666666666668,-0.1808127061226705,-0.1444923286032509,254.7672305883142,0.20465123797011842,-0.23034302125593537,0.13953125361197938,39.679748408564734,0.25312500000000004,-0.0390846943633265,0.0778125023508134,10.17104962384259,0.24270833333333333,-0.14824879652188458,-0.1875779448320127,215.0289546748278,0.1454564243626744,-0.22135674043863957,-0.13546252819946203,118.04930826946112,0.15667860709098458,0.18283950674307928,-0.17284059866677487,-0.07420061781379948,111.06335736119418
2017-10-05 05:00:00,-0.24391296223494122,-0.07412847449563238,127.53411143904323,0.1480902777777777,-0.14706276970519092,-0.19362847125157717,12.241876302083345,0.13125,-0.18116261142751638,-0.1438029346256445,254.74970284210207,0.2055982076670881,-0.2309882168411674,0.1411532774445645,39.696528005125586,0.25312500000000004,-0.038925964194839624,0.07796131188792753,10.191136925429893,0.24449404761904764,-0.14830236794615417,-0.1870779448183533,215.02907608686482,0.14712309102934104,-0.2226067404883101,-0.13671252824913258,118.04953164909075,0.15667860709098458,0.18376560445489135,-0.17328023326258854,-0.07374796630112113,111.07028046424853
2017-10-05 06:00:00,-0.2453415336404513,-0.07350347454175503,127.58235614803793,0.1480902777777777,-0.14664610303231546,-0.19321180457870168,12.254646556712974,0.13333333333333333,-0.18217451617604263,-0.143773172673873,254.7485179876047,0.20589582671470716,-0.23162384609933034,0.14273065841823282,39.71202296213617,0.25312500000000004,-0.039025170530741365,0.0778422642892803,10.210604352678569,0.24598214285714284,-0.14866347904608943,-0.18561961150985523,215.0292517234389,0.1481647576960077,-0.2226067404883101,-0.13671252824913258,118.05024924168335,0.15667860709098458,0.18446713506713616,-0.17372591271618296,-0.07317823840654347,111.08394985318466
2017-10-05 07:00:00,-0.2468445098034313,-0.0732951412385788,127.66457878361994,0.1480902777777777,-0.14622943635943997,-0.1927951379058262,12.265676070601863,0.13541666666666666,-0.18319882175922167,-0.1433796541425919,254.67991198837632,0.20589582671470716,-0.2322499090304241,0.14426339653298434,39.726233279596485,0.25312500000000004,-0.039382313371031714,0.07745535955487173,10.229451905588624,0.24717261904761903,-0.1486932409501861,-0.18530711150519863,215.0295005660315,0.15024809102934103,-0.22361368493223716,-0.13796252825223698,118.0512199206957,0.15667860709098458,0.18523244118958518,-0.17431598802942455,-0.07300297385093948,111.0923675020729
2017-10-05 08:00:00,-0.2484218907238812,-0.07350347458610372,127.78077934578927,0.1480902777777777,-0.14581276968656448,-0.1923784712329507,12.274964843750011,0.1375,-0.18462243284641736,-0.14370372815595756,254.5444185470183,0.20589582671470716,-0.23286640563444877,0.14575149178881908,39.73915895750654,0.25312500000000004,-0.03999739271571068,0.07680059768470181,10.247679584160052,0.2480654761904762,-0.1489214155508476,-0.18489044484784517,215.02969404596976,0.15163697991822994,-0.2247039626838344,-0.13925419490400248,118.05235371699199,0.15709527375765125,0.18591554776554892,-0.17504946712024352,-0.07302546060761982,111.09557843445512
2017-10-05 09:00:00,-0.250073676401801,-0.07412847458432978,127.93095783454586,0.1480902777777777,-0.14546554745916826,-0.19196180456007522,12.282730372299394,0.13958333333333334,-0.18552521060099827,-0.1428009503181612,254.34313305319114,0.20659027115915157,-0.23347333591140432,0.14719494418573698,39.75079999586633,0.25312500000000004,-0.040870408564778256,0.07587797867877054,10.265287388392856,0.2486607142857143,-0.14934800284807395,-0.1843696115377949,215.0298321632537,0.15233142436267438,-0.2255372960295854,-0.14008752824975346,118.05317171467716,0.15709527375765125,0.18649661352518604,-0.17575621111654421,-0.07289649234080099,111.09370178888949
2017-10-05 10:00:00,-0.2517998668371907,-0.07517014123325697,128.11511424988979,0.1480902777777777,-0.14518776967725125,-0.19154513788719976,12.288972656250012,0.14166666666666666,-0.18628909950155745,-0.14240743177135806,254.07571908714175,0.20659027115915157,-0.2340706998612907,0.1485937537237381,39.76115639467585,0.25312500000000004,-0.04200136091823445,0.07468750253707791,10.282275318287036,0.24895833333333334,-0.14997300284186513,-0.18374461157504782,215.02991491788333,0.15233142436267438,-0.22522479601716774,-0.13946252822491817,118.05427183041792,0.15917860709098458,0.1871343686272269,-0.1763637993792225,-0.07272122777585212,111.08677492207796
